{-1.2792167304792898*^6, {theta -> 1.2716509296949077, t1 -> 0.09351344346574667, t2 -> 0.11599637031339745, adm -> 0.16930809471360683, aa -> 0.10517731958449231, yy -> 6.521925788732115, xx -> 13.443982448536913}}
{-1.2791563071815856*^6, {theta -> 1.2764465144311865, t1 -> 0.09513603100324435, t2 -> 0.12053125016008016, adm -> 0.16174328681225927, aa -> 0.10951248342725685, yy -> 6.497887308942676, xx -> 13.40857669016109}}
{-1.282991778227533*^6, {theta -> 1.2895466943130716, t1 -> 0.08996369194255828, t2 -> 0.1151625095740245, adm -> 0.1632182676201708, aa -> 0.09042601851763744, yy -> 6.4850931849037545, xx -> 13.583899215569927}}
{-1.2747285141272065*^6, {theta -> 1.271669012452993, t1 -> 0.006116483859808109, t2 -> 0.1284029706756842, adm -> 0.24677974703375222, aa -> 0.14551587460350593, yy -> 6.740305699342637, xx -> 12.074571668055267}}
{-1.2804673550840477*^6, {theta -> 1.2810487193530469, t1 -> 0.09119988556534679, t2 -> 0.10804293486736931, adm -> 0.16922969138633945, aa -> 0.10489566327703545, yy -> 6.714349723647391, xx -> 13.555132126444418}}
{-1.2818208255682616*^6, {theta -> 1.2572996420346543, t1 -> 0.11636681136925778, t2 -> 0.12565758329458987, adm -> 0.1480904640793472, aa -> 0.09122529671779236, yy -> 6.294088093586711, xx -> 12.54074647047983}}
{-1.2823216784568508*^6, {theta -> 1.2844797004862465, t1 -> 0.0871723310559363, t2 -> 0.10961701177980565, adm -> 0.16834062339387063, aa -> 0.0776264682173405, yy -> 6.431499566667143, xx -> 13.275416423791818}}
{-1.2743317313704658*^6, {theta -> 1.2346766581186825, t1 -> 0.11310240915845661, t2 -> 0.12671784297549102, adm -> 0.16686459293517678, aa -> 0.12206400825512623, yy -> 6.5041594619792775, xx -> 12.655688263802455}}
{-1.2730560085083875*^6, {theta -> 1.288332319277304, t1 -> 0.09032625468526466, t2 -> 0.10916848802639699, adm -> 0.16309991030522203, aa -> 0.078579441147353, yy -> 6.817683603814992, xx -> 13.539458349697838}}
{-1.2832194050836293*^6, {theta -> 1.299909220000979, t1 -> 0.09821584335168773, t2 -> 0.11417862423335859, adm -> 0.15466342822023527, aa -> 0.09126569476884801, yy -> 6.6194442552907224, xx -> 13.585510347524554}}
{-1.2800911194272388*^6, {theta -> 1.2724931746615433, t1 -> 0.09469088959252069, t2 -> 0.11286951282431508, adm -> 0.16969750761230942, aa -> 0.09511295605438719, yy -> 6.522505050572786, xx -> 13.421923855891652}}
{-1.2728963968001741*^6, {theta -> 1.2677204074537585, t1 -> 0.0696085176555114, t2 -> 0.10717038421076264, adm -> 0.19385081816885708, aa -> 0.08484014594341918, yy -> 6.9054396032102545, xx -> 12.634138170993628}}
{-1.277673500885466*^6, {theta -> 1.2822993474779225, t1 -> 0.09954313105744558, t2 -> 0.11164530822052021, adm -> 0.16428851372185216, aa -> 0.09387313757300142, yy -> 6.738660389685267, xx -> 13.525699288023873}}
{-1.2766297873750112*^6, {theta -> 1.2847006116125121, t1 -> 0.0853290597173089, t2 -> 0.10996346770269486, adm -> 0.17474706238662768, aa -> 0.09832342726040844, yy -> 6.801154961183295, xx -> 13.708611130622078}}
{-1.283096868272546*^6, {theta -> 1.2861033890633553, t1 -> 0.08854000536705242, t2 -> 0.11513893759830697, adm -> 0.16857269558307145, aa -> 0.10990164093370804, yy -> 6.542256964402244, xx -> 13.571112522293221}}
{-1.2787494503687583*^6, {theta -> 1.2716023653498523, t1 -> 0.10648337945743085, t2 -> 0.12260861471039425, adm -> 0.15765110481777744, aa -> 0.11709776666346489, yy -> 6.50375062773717, xx -> 13.472317155670241}}
{-1.2808328435433023*^6, {theta -> 1.2825251144783731, t1 -> 0.10096504719464149, t2 -> 0.11015270797420067, adm -> 0.16035738280207448, aa -> 0.08346478869042953, yy -> 6.582282164255588, xx -> 13.430167164564358}}
